percentile,absC_cut_logits,tau_score_scale,model_name,n_seeds,mirage_full_rate,ci_lo,ci_hi
10,0.048583984375,0.990283203125,llama-3.1-8b-instruct,596,0.0016778523489932886,0.0,0.0050335570469798654
10,0.048583984375,0.990283203125,qwen2.5-7b-instruct,596,0.0,0.0,0.0
10,0.048583984375,0.990283203125,gemma-2-2b-it,596,0.0,0.0,0.0
10,0.048583984375,0.990283203125,phi-4-mini-instruct,596,0.0,0.0,0.0
15,0.06828613281249996,0.9863427734375,llama-3.1-8b-instruct,596,0.0050335570469798654,0.0,0.01174496644295302
15,0.06828613281249996,0.9863427734375,qwen2.5-7b-instruct,596,0.0,0.0,0.0
15,0.06828613281249996,0.9863427734375,gemma-2-2b-it,596,0.003355704697986577,0.0,0.008389261744966443
15,0.06828613281249996,0.9863427734375,phi-4-mini-instruct,596,0.0,0.0,0.0
20,0.125,0.975,llama-3.1-8b-instruct,596,0.015100671140939598,0.006711409395973154,0.025167785234899327
20,0.125,0.975,qwen2.5-7b-instruct,596,0.0,0.0,0.0
20,0.125,0.975,gemma-2-2b-it,596,0.01174496644295302,0.003355704697986577,0.02181208053691275
20,0.125,0.975,phi-4-mini-instruct,596,0.0,0.0,0.0
25,0.125,0.975,llama-3.1-8b-instruct,596,0.015100671140939598,0.006711409395973154,0.025167785234899327
25,0.125,0.975,qwen2.5-7b-instruct,596,0.0,0.0,0.0
25,0.125,0.975,gemma-2-2b-it,596,0.01174496644295302,0.003355704697986577,0.02181208053691275
25,0.125,0.975,phi-4-mini-instruct,596,0.0,0.0,0.0
30,0.1796875,0.9640625,llama-3.1-8b-instruct,596,0.050335570469798654,0.03355704697986577,0.06879194630872483
30,0.1796875,0.9640625,qwen2.5-7b-instruct,596,0.0016778523489932886,0.0,0.0050335570469798654
30,0.1796875,0.9640625,gemma-2-2b-it,596,0.028523489932885907,0.016778523489932886,0.04194630872483222
30,0.1796875,0.9640625,phi-4-mini-instruct,596,0.0,0.0,0.0
35,0.21875,0.95625,llama-3.1-8b-instruct,596,0.0738255033557047,0.053691275167785234,0.09563758389261745
35,0.21875,0.95625,qwen2.5-7b-instruct,596,0.006711409395973154,0.0016778523489932886,0.013422818791946308
35,0.21875,0.95625,gemma-2-2b-it,596,0.03523489932885906,0.021770134228187934,0.050335570469798654
35,0.21875,0.95625,phi-4-mini-instruct,596,0.0,0.0,0.0
40,0.25,0.95,llama-3.1-8b-instruct,596,0.08557046979865772,0.06375838926174497,0.10906040268456375
40,0.25,0.95,qwen2.5-7b-instruct,596,0.008389261744966443,0.0016778523489932886,0.016778523489932886
40,0.25,0.95,gemma-2-2b-it,596,0.040268456375838924,0.025167785234899327,0.05704697986577181
40,0.25,0.95,phi-4-mini-instruct,596,0.0,0.0,0.0
45,0.296875,0.940625,llama-3.1-8b-instruct,596,0.10906040268456375,0.08557046979865772,0.1342281879194631
45,0.296875,0.940625,qwen2.5-7b-instruct,596,0.010067114093959731,0.003355704697986577,0.018456375838926176
45,0.296875,0.940625,gemma-2-2b-it,596,0.05201342281879195,0.03523489932885906,0.07046979865771812
45,0.296875,0.940625,phi-4-mini-instruct,596,0.0,0.0,0.0
50,0.375,0.925,llama-3.1-8b-instruct,596,0.13926174496644295,0.11241610738255034,0.16778523489932887
50,0.375,0.925,qwen2.5-7b-instruct,596,0.020134228187919462,0.010067114093959731,0.031879194630872486
50,0.375,0.925,gemma-2-2b-it,596,0.06543624161073826,0.04697986577181208,0.08557046979865772
50,0.375,0.925,phi-4-mini-instruct,596,0.0,0.0,0.0
55,0.390625,0.921875,llama-3.1-8b-instruct,596,0.14261744966442952,0.11409395973154363,0.17114093959731544
55,0.390625,0.921875,qwen2.5-7b-instruct,596,0.02181208053691275,0.010067114093959731,0.03355704697986577
55,0.390625,0.921875,gemma-2-2b-it,596,0.07046979865771812,0.05201342281879195,0.09228187919463088
55,0.390625,0.921875,phi-4-mini-instruct,596,0.0,0.0,0.0
60,0.5,0.9,llama-3.1-8b-instruct,596,0.19798657718120805,0.16610738255033558,0.23154362416107382
60,0.5,0.9,qwen2.5-7b-instruct,596,0.030201342281879196,0.016778523489932886,0.0436241610738255
60,0.5,0.9,gemma-2-2b-it,596,0.07885906040268456,0.0587248322147651,0.10067114093959731
60,0.5,0.9,phi-4-mini-instruct,596,0.0,0.0,0.0
65,0.5625,0.8875,llama-3.1-8b-instruct,596,0.20973154362416108,0.1761744966442953,0.24161073825503357
65,0.5625,0.8875,qwen2.5-7b-instruct,596,0.0436241610738255,0.028523489932885907,0.06040268456375839
65,0.5625,0.8875,gemma-2-2b-it,596,0.08221476510067115,0.06040268456375839,0.1040268456375839
65,0.5625,0.8875,phi-4-mini-instruct,596,0.0,0.0,0.0
70,0.65625,0.86875,llama-3.1-8b-instruct,596,0.2181208053691275,0.18624161073825504,0.2516778523489933
70,0.65625,0.86875,qwen2.5-7b-instruct,596,0.05201342281879195,0.03523489932885906,0.07046979865771812
70,0.65625,0.86875,gemma-2-2b-it,596,0.087248322147651,0.06543624161073826,0.11073825503355705
70,0.65625,0.86875,phi-4-mini-instruct,596,0.0,0.0,0.0
75,0.7643661499023438,0.8471267700195313,llama-3.1-8b-instruct,596,0.22483221476510068,0.1912751677852349,0.2600671140939597
75,0.7643661499023438,0.8471267700195313,qwen2.5-7b-instruct,596,0.07885906040268456,0.0587248322147651,0.10067114093959731
75,0.7643661499023438,0.8471267700195313,gemma-2-2b-it,596,0.09395973154362416,0.07214765100671142,0.11912751677852348
75,0.7643661499023438,0.8471267700195313,phi-4-mini-instruct,596,0.0,0.0,0.0
80,0.9375,0.8125,llama-3.1-8b-instruct,596,0.23657718120805368,0.20134228187919462,0.27181208053691275
80,0.9375,0.8125,qwen2.5-7b-instruct,596,0.09731543624161074,0.07550335570469799,0.12080536912751678
80,0.9375,0.8125,gemma-2-2b-it,596,0.09563758389261745,0.07214765100671142,0.12080536912751678
80,0.9375,0.8125,phi-4-mini-instruct,596,0.0,0.0,0.0
