2026-06-15 14:58:41,334 | INFO | run_gpu_remaining | patching libs OK: transformer_lens=2.18.0 nnsight=0.3.7
2026-06-15 14:58:41,434 | INFO | run_gpu_remaining | loaded pentad=7152 rows, cdva pairs=23840
2026-06-15 14:58:41,438 | INFO | run_gpu_remaining | === model gemma-2-2b-it (limit=2) ===
2026-06-15 14:58:41,439 | INFO | GPU_CPU.load_osm | Loading model: gemma-2-2b-it (google/gemma-2-2b-it) ...
2026-06-15 14:59:11,930 | WARNING | run_gpu_remaining | flash_attention_2 failed (FlashAttention2 has been toggled on, but it cannot be used due to the following error: the package flash_attn seems to b); retrying with sdpa
2026-06-15 14:59:14,665 | INFO | GPU_CPU.load_osm |   Model gemma-2-2b-it                       | attention impl: sdpa
2026-06-15 14:59:14,665 | WARNING | GPU_CPU.load_osm |   WARNING: gemma-2-2b-it did not load with flash_attention_2 (got 'sdpa').
2026-06-15 14:59:14,665 | INFO | GPU_CPU.load_osm | Model 'gemma-2-2b-it' loaded successfully.
2026-06-15 14:59:18,588 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-15 14:59:20,161 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=1, batch_size=8).
2026-06-15 14:59:21,665 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=2, batch_size=8).
2026-06-15 14:59:23,250 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=3, batch_size=8).
2026-06-15 14:59:24,922 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=4, batch_size=8).
2026-06-15 14:59:26,674 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=5, batch_size=8).
2026-06-15 14:59:26,676 | INFO | run_gpu_remaining |   T0.1 rows=12
2026-06-15 14:59:28,108 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=1, batch_size=8).
2026-06-15 14:59:29,438 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=2, batch_size=8).
2026-06-15 14:59:31,311 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=3, batch_size=8).
2026-06-15 14:59:32,814 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=4, batch_size=8).
2026-06-15 14:59:34,541 | INFO | GPU_CPU.osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=5, batch_size=8).
2026-06-15 14:59:34,545 | INFO | run_gpu_remaining |   T1.2 rows=10
