model_name,placebo,n_seeds,n_pairs,mean_absC_real,mean_absC_placebo,ratio,ratio_ci_lo,ratio_ci_hi,win_rate_seeds,wilcoxon_stat_seedlevel,p_seedlevel_raw,p_seedlevel_holm,significant_0.05
llama-3.1-8b-instruct,content,596,9566,0.44499073153907553,0.29546469413660786,1.5060707433739424,1.3819411260258707,1.641655641012889,0.7080536912751678,129976.0,8.828220406474292e-23,1.7656440812948584e-22,True
llama-3.1-8b-instruct,function,596,9566,0.44499073153907553,0.223666514112912,1.989527727491805,1.8343263434191723,2.1625657849630597,0.8137583892617449,152607.0,4.71283105482808e-52,1.413849316448424e-51,True
llama-3.1-8b-instruct,shuffled,596,9566,0.44499073153907553,0.48943666846426803,0.9091896055425251,0.8616501012686406,0.9582534883324024,0.5218120805369127,85053.5,0.8046979414595914,0.8046979414595914,False
qwen2.5-7b-instruct,content,596,9566,0.9097827587085016,0.38812573878823775,2.344041293290474,2.1582504736022026,2.5509156890011973,0.825503355704698,161758.5,1.919928299593974e-67,3.839856599187948e-67,True
qwen2.5-7b-instruct,function,596,9566,0.9097827587085016,0.31304715047746695,2.906216387278655,2.665907332945394,3.1857540106262907,0.9010067114093959,167886.5,7.276332465971635e-80,2.1828997397914908e-79,True
qwen2.5-7b-instruct,shuffled,596,9566,0.9097827587085016,0.9549709388340346,0.9526810939600893,0.9032046920545269,1.0018054444902111,0.5453020134228188,91441.5,0.2770204880024364,0.2770204880024364,False
gemma-2-2b-it,content,596,9566,0.4741510036541045,0.19021491777710198,2.492711976511354,2.1919085339131636,2.8257373829782875,0.7550335570469798,144047.0,2.5188116879742044e-41,5.037623375948409e-41,True
gemma-2-2b-it,function,596,9566,0.4741510036541045,0.14130971767758363,3.3554026676066346,2.956404493171002,3.794039144496783,0.8154362416107382,156829.0,2.732274907459505e-61,8.196824722378514e-61,True
gemma-2-2b-it,shuffled,596,9566,0.4741510036541045,0.4781494799876373,0.9916376018360699,0.9330769881007853,1.0521683181664345,0.5184563758389261,86028.0,0.553562892864052,0.553562892864052,False
phi-4-mini-instruct,content,596,9566,0.529586129753915,0.23690750838926175,2.2354130240724754,2.0591993160056514,2.4343289160930954,0.8120805369127517,156665.0,1.2214184337014362e-62,2.4428368674028724e-62,True
phi-4-mini-instruct,function,596,9566,0.529586129753915,0.18179180648769575,2.913146307227873,2.6869972867305933,3.1623040150279214,0.889261744966443,166163.0,2.2216594478739383e-83,6.664978343621816e-83,True
phi-4-mini-instruct,shuffled,596,9566,0.529586129753915,0.6151094099552573,0.8609624908720495,0.7930681009585865,0.9237912536040612,0.5016778523489933,77688.0,0.9845509614319924,0.9845509614319924,False
